"year","sitecode","section","reach","pass","unitnum","unittype","vert_index","pitnumber","species","length_1_mm","length_2_mm","weight_g","clip","sampledate","notes"
1987,"MACKCC-L","CC","L",1,1,"R",1,,"Cutthroat trout",58,,1.75,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",2,,"Cutthroat trout",61,,1.95,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",3,,"Cutthroat trout",89,,5.6,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",4,,"Cutthroat trout",58,,2.15,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",5,,"Cutthroat trout",93,,6.9,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",6,,"Cutthroat trout",86,,5.9,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",7,,"Cutthroat trout",107,,10.5,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",8,,"Cutthroat trout",131,,20.6,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",9,,"Cutthroat trout",103,,9.55,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",10,,"Cutthroat trout",117,,13,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",11,,"Cutthroat trout",100,,8.25,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",12,,"Cutthroat trout",127,,17.7,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",13,,"Cutthroat trout",99,,8.15,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",14,,"Cutthroat trout",111,,11.25,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",15,,"Cutthroat trout",149,,27.15,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,1,"R",16,,"Cutthroat trout",102,,9.25,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",1,,"Cutthroat trout",53,,1.45,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",2,,"Cutthroat trout",58,,2.1,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",3,,"Cutthroat trout",58,,2.05,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",4,,"Cutthroat trout",105,,10.85,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",5,,"Cutthroat trout",145,,22.9,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",6,,"Cutthroat trout",97,,7.3,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",7,,"Cutthroat trout",118,,12,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",8,,"Cutthroat trout",110,,11.1,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",9,,"Cutthroat trout",133,,19.1,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",10,,"Cutthroat trout",99,,7.75,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",11,,"Cutthroat trout",93,,7.05,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",12,,"Cutthroat trout",155,,30.85,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",13,,"Cutthroat trout",131,,17.65,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",14,,"Cutthroat trout",120,,13.45,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",15,,"Cutthroat trout",94,,6.65,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",16,,"Cutthroat trout",97,,7.6,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",17,,"Cutthroat trout",98,,7.65,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",18,,"Cutthroat trout",122,,14.2,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",19,,"Cutthroat trout",135,,19.7,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",20,,"Cutthroat trout",186,,49.15,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",21,,"Cutthroat trout",121,,16.15,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",22,,"Cutthroat trout",59,,2.25,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",23,,"Cutthroat trout",91,,6.9,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",24,,"Cutthroat trout",103,,9.1,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",25,,"Cutthroat trout",107,,9.3,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",26,,"Cutthroat trout",129,,17.5,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",27,,"Cutthroat trout",92,,6.1,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",28,,"Cutthroat trout",93,,8.15,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",29,,"Cutthroat trout",154,,29.5,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",30,,"Cutthroat trout",121,,13.95,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",31,,"Cutthroat trout",63,,2.35,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",32,,"Cutthroat trout",116,,12.25,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",33,,"Cutthroat trout",59,,2.35,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",34,,"Cutthroat trout",48,,1.3,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",35,,"Cutthroat trout",111,,10.55,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",36,,"Cutthroat trout",63,,2.05,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",37,,"Cutthroat trout",96,,7,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",38,,"Cutthroat trout",62,,2.3,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",39,,"Cutthroat trout",57,,2.1,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",40,,"Cutthroat trout",57,,1.85,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",41,,"Cutthroat trout",56,,2.1,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",42,,"Cutthroat trout",64,,2.45,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",43,,"Cutthroat trout",58,,1.95,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",44,,"Cutthroat trout",70,,3.1,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,2,"C",45,,"Cutthroat trout",68,,2.8,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,3,"S",1,,"Cutthroat trout",83,,5.7,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,3,"S",2,,"Cutthroat trout",55,,1.4,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,4,"P",1,,"Cutthroat trout",61,,2.6,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,4,"P",2,,"Cutthroat trout",142,,21.3,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,4,"P",3,,"Cutthroat trout",121,,14.9,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,4,"P",4,,"Cutthroat trout",100,,7.35,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,4,"P",5,,"Cutthroat trout",96,,7.35,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,4,"P",6,,"Cutthroat trout",158,,30.6,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,4,"P",7,,"Cutthroat trout",96,,7.05,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,4,"P",8,,"Cutthroat trout",60,,2.1,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,4,"P",9,,"Cutthroat trout",55,,1.75,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,5,"C",1,,"Cutthroat trout",66,,2.95,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,5,"C",2,,"Cutthroat trout",116,,12.5,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,5,"C",3,,"Cutthroat trout",134,,19.5,"NONE",1987-10-07,
1987,"MACKCC-L","CC","L",1,5,"C",4,,"Cutthroat trout",63,,2.6,"NONE",1987-10-07,
